Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.12     0.00      411     0.00     0.00  BanManager::FindNickBanGeneric(unsigned int, long const&, char const*, unsigned char) const
  0.00      0.12     0.00      411     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace(unsigned long, unsigned long, char const*, unsigned long)
  0.00      0.12     0.00      410     0.00     0.00  DcCommands::ValidateUserNickFinally(bool, User*, unsigned long, bool)
  0.00      0.12     0.00      410     0.00     0.00  RegManager::Find(User*)
  0.00      0.12     0.00      410     0.00     0.00  HashManager::Add(User*)
  0.00      0.12     0.00      410     0.00     0.00  DBSQLite::UpdateRecord(User*)
  0.00      0.12     0.00      409     0.00     0.00  DcCommands::GetNickList(DcCommand*)
  0.00      0.12     0.00      409     0.00     0.00  DcCommands::Version(DcCommand*)
  0.00      0.12     0.00      409     0.00     0.00  Users::CheckRecTime(User*)
  0.00      0.12     0.00      409     0.00     0.00  HashManager::GetUserIpCount(User const*) const
  0.00      0.12     0.00      409     0.00     0.00  std::__detail::_Map_base<std::array<unsigned char, 16ul>, std::pair<std::array<unsigned char, 16ul> const, HashManager::IpTableItem>, std::allocator<std::pair<std::array<unsigned char, 16ul> const, HashManager::IpTableItem> >, std::__detail::_Select1st, std::equal_to<std::array<unsigned char, 16ul> >, IpHashHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](std::array<unsigned char, 16ul> const&)
  0.00      0.12     0.00      408     0.00     0.00  GlobalDataQueue::UserIPStore(User*)
  0.00      0.12     0.00      408     0.00     0.00  User::Add2Userlist()
  0.00      0.12     0.00      408     0.00     0.00  User::AddMeOrIPv4Check()
  0.00      0.12     0.00      408     0.00     0.00  Users::Add2UserIP(User*)
  0.00      0.12     0.00      408     0.00     0.00  Users::Add2NickList(User*)
  0.00      0.12     0.00      404     0.00     0.00  User::AddUserList()
  0.00      0.12     0.00      369     0.00     0.15  ServiceLoop::ReceiveLoop()
  0.00      0.12     0.00      368     0.00     0.00  EventQueue::ProcessEvents()
  0.00      0.12     0.00      368     0.00     0.02  ServiceLoop::SendLoop()
  0.00      0.12     0.00      368     0.00     0.00  GlobalDataQueue::ClearQueues()
  0.00      0.12     0.00      368     0.00     0.00  GlobalDataQueue::PrepareQueueItems()
  0.00      0.12     0.00      365     0.00     0.00  GlobalDataQueue::PrometheusUsersListBufferBytes(char const*, double)
  0.00      0.12     0.00      359     0.00     0.00  UdpDebug::Cleanup()
  0.00      0.12     0.00      339     0.00     0.00  ZlibUtility::CreateZPipe(char const*, unsigned long, std::vector<char, std::allocator<char> >&, unsigned int&)
